C:\Users\Acer>jmap -histo 9728
No dump file specified
Позволяет увидеть какие объекты созданы и в каком количестве
 номер		кол-во			вес		имя класса
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
 181:            19            760  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@15)
 182:            23            736  sun.management.MappedMXBeanType$BasicMXBeanType (java.management@15)
 183:            13            728  org.jcp.xml.dsig.internal.dom.XMLDSigRI$ProviderService (java.xml.crypto@15)
 184:             9            720  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@15)
 185:             9            720  sun.nio.ch.NioSocketImpl (java.base@15)
 186:            18            720  sun.reflect.generics.repository.MethodRepository (java.base@15)
 187:            22            704  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@15)
 188:            11            704  org.postgresql.core.v3.SimpleQuery
 189:            31            688  [Ljava.lang.reflect.Type; (java.base@15)
 190:             7            680  [D (java.base@15)
 191:            28            672  java.time.LocalTime (java.base@15)
 192:            28            672  jdk.internal.org.objectweb.asm.ByteVector (java.base@15)
 193:            27            648  java.util.Collections$SingletonList (java.base@15)
 194:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@15)
 195:            26            624  com.sun.jmx.mbeanserver.NamedObject (java.management@15)
 196:            26            624  java.security.spec.ECFieldF2m (java.base@15)
 197:            26            624  java.util.jar.Attributes$Name (java.base@15)
 198:             4            608  jdk.internal.org.objectweb.asm.ClassWriter (java.base@15)
 199:            19            608  jdk.internal.org.objectweb.asm.Type (java.base@15)
 200:            15            600  java.io.FileDescriptor (java.base@15)
 201:            12            576  jdk.internal.org.objectweb.asm.AnnotationWriter (java.base@15)
 202:            18            576  sun.reflect.generics.tree.MethodTypeSignature (java.base@15)
 203:             7            560  [Ljava.nio.ByteBuffer; (java.base@15)
 204:             7            560  java.util.concurrent.TimeUnit (java.base@15)
 205:            14            560  javax.management.openmbean.SimpleType (java.management@15)
 206:            10            560  sun.invoke.util.Wrapper (java.base@15)
 207:            10            560  sun.security.mscapi.SunMSCAPI$ProviderService (jdk.crypto.mscapi@15)
 208:            23            552  java.lang.invoke.Invokers (java.base@15)
 209:            23            552  java.time.Duration (java.base@15)
 210:            19            536  [Ljava.lang.reflect.Constructor; (java.base@15)
 211:             1            528  [Ljava.lang.Character; (java.base@15)
 212:            11            528  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping (java.management@15)
 213:            33            528  java.util.ImmutableCollections$ListN (java.base@15)
 214:            13            520  com.sun.jmx.mbeanserver.PerInterface (java.management@15)
 215:            16            512  java.time.temporal.ChronoUnit (java.base@15)
 216:            16            512  java.util.ArrayList$Itr (java.base@15)
 217:            32            512  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry (java.base@15)
 218:            21            504  java.lang.RuntimePermission (java.base@15)
